Mianownik;Wołacz;Płeć
Alegra;Alegro;Kobieta
Aleina;Aleino;Kobieta
Alejandra;Alejandro;Kobieta
Alejandrina;Alejandrino;Kobieta
Aleka;Aleko;Kobieta
Alekandra;Alekandro;Kobieta
Alekhya;Alekhyo;Kobieta
Aleks;Aleko;Mężczyzna
Aleksa;Alekso;Kobieta
Aleksadra;Aleksadro;Kobieta
Aleksander;Aleksandrze;Mężczyzna
Aleksander;Aleksandrze;Mężczyzna
Aleksandera;Aleksandero;Kobieta
Aleksandra;Aleksandro;Kobieta
Aleksandra  Anna;Aleksandra  Anno;Kobieta
Aleksandra  Elżbieta;Aleksandra  Elżbieto;Kobieta
Aleksandra  Janina;Aleksandra  Janino;Kobieta
Aleksandra  Maria;Aleksandra  Mario;Kobieta
Aleksandra-Maria;Aleksandra-Mario;Kobieta
Aleksandria;Aleksandrio;Kobieta
Aleksandrina;Aleksandrino;Kobieta
Aleksandryia;Aleksandryio;Kobieta
Aleksandryna;Aleksandryno;Kobieta
Aleksanra;Aleksanro;Kobieta
Aleksanrda;Aleksanrdo;Kobieta
Aleksia;Aleksio;Kobieta
Aleksiia;Aleksiio;Kobieta
Aleksija;Aleksijo;Kobieta
Aleksis;Aleksio;Mężczyzna
Aleksiya;Aleksiyo;Kobieta
Aleksja;Aleksjo;Kobieta
Aleksndra;Aleksndro;Kobieta
Aleksya;Aleksyo;Kobieta
Aleksyna;Aleksyno;Kobieta
Alekszandra;Alekszandro;Kobieta
Alekxandra;Alekxandro;Kobieta
Alem;Alemie;Mężczyzna
Alemtsehay;Alemtsehao;Mężczyzna
Alena;Aleno;Kobieta
Alene;Aleno;Mężczyzna
Alenka;Alenko;Kobieta
Alenna;Alenno;Kobieta
Alentina;Alentino;Kobieta
Alentyna;Alentyno;Kobieta
Aleona;Aleono;Kobieta
Ales;Alesie;Mężczyzna
Alesa;Aleso;Kobieta
Alesha;Alesho;Kobieta
Alesia;Alesio;Kobieta
Alesiia;Alesiio;Kobieta
Alesja;Alesjo;Kobieta
Alessa;Alesso;Kobieta
Alessandra;Alessandro;Kobieta
Alessia;Alessio;Kobieta
Alessiia;Alessiio;Kobieta
Alessya;Alessyo;Kobieta
Alesya;Alesyo;Kobieta
Aleta;Aleto;Kobieta
Alethea;Aletheo;Kobieta
Aletia;Aletio;Kobieta
Aleutina;Aleutino;Kobieta
Aleutsina;Aleutsino;Kobieta
Aleutyna;Aleutyno;Kobieta
Alev;Alevie;Mężczyzna
Alevtina;Alevtino;Kobieta
Alevtyna;Alevtyno;Kobieta
Alewtina;Alewtino;Kobieta
Alewtyna;Alewtyno;Kobieta
Alex;Alexie;Mężczyzna
Alexa;Alexo;Kobieta
Alexander;Alexandrze;Mężczyzna
Alexandera;Alexandero;Kobieta
Alexandra;Alexandro;Kobieta
